Model, Bypass (min), Bypass (max), Length (min), Length (max), Fan diameter (min), Fan diameter (max), Weight (min), Weight (max), Thrust (min), Thrust (max)
GE GE90, 8.7, 9.9, 5.18, 5.40, 3.12, 3.25, 6858.32, 7819.93, 330000, 510000
P&W PW4000, 4.8, 6.4, 3.37, 4.95, 2.84, , 3792.03, 6785.74, 222000, 436000
R-R Trent XWB, 9.3, , 5.22, , 3.00, , 6604.31, , 330000, 430000
R-R Trent 800, 5.7, 5.8, 4.37, , 2.79, , 5406.82, 5424.97, 411000, 425000
EA GP7000, 8.7, , 4.75, , 2.95, , 5524.76, 6087.21, 311000, 363000
R-R Trent 900, 8.7, , 4.55, , 2.95, , 5606.40, 5669.91, 340000, 357000
R-R Trent 1000, 10.8, 11.0, 4.74, , 2.85, , 5234.46, , 265300, 360400
GE GEnx[36], 8.0, 9.3, 4.31, 4.69, 2.66, 2.82, 5098.38, 5279.82, 296000, 339000
R-R Trent 700, 4.9, , 3.91, , 2.47, , 4345.42, , 320000, 
GE CF6, 4.3, 5.3, 4.00, 4.41, 2.20, 2.79, 3465.45, 4608.50, 222000, 298000
R-R Trent 500, 8.5, , 3.91, , 2.47, , 4281.91, , 252000, 
P&W PW1000G[37], 9.0, 12.5, 3.40, , 1.42, 2.06, 2594.55, , 67000, 160000
CFM LEAP[38], 9.0, 11.0, 3.15, 3.33, 1.76, 1.98, 2521.97, 2857.63, 100000, 146000
CFM56, 5.0, 6.6, 2.36, 2.52, 1.52, 1.84, 1769.01, 2394.97, 97900, 151000
IAE V2500, 4.4, 4.9, 3.20, , 1.60, , 2140.96, 2304.25, 97900, 147000
P&W PW6000, 4.9, , 2.73, , 1.44, , 2140.96, , 100200, 
R-R BR700, 4.2, 4.5, 3.41, 3.60, 1.32, 1.58, 1478.71, 1914.16, 68900, 102300
GE Passport, 5.6, , 3.37, , 1.30, , 1877.87, , 78900, 84200
GE CF34, 5.3, 6.3, 2.62, 3.26, 1.25, 1.32, 671.32, 1016.05, 41000, 82300
R-R Tay, 3.1, 3.2, 2.41, , 1.12, 1.14, 1288.20, 1387.99, 61600, 68500
Silvercrest, 5.9, , 1.90, , 1.08, , 988.83, , 50900, 
R-R AE 3007, 5.0, , 2.71, , 1.11, , 653.17, , 33700, 
P&WC PW300, 3.8, 4.5, 1.92, 2.07, 0.97, , 408.23, 426.38, 23400, 35600
HW HTF7000, 4.4, , 2.29, , 0.87, , 562.45, , 28900, 
HW TFE731, 2.7, 3.9, 1.52, 2.08, 0.72, 0.78, 308.44, 408.23, 15600, 22200
Williams FJ44, 3.3, 4.1, 1.36, 2.09, 0.53, 0.57, 190.51, 217.72, 6700, 15600
P&WC PW500, 3.9, , 1.52, , 0.70, , 254.01, , 13300, 
GE-H HF120, 4.4, , 1.12, , 0.54, , 163.29, , 7400, 
P&WC PW600, 1.8, 2.8, 0.67, , 0.36, , 136.08, , 6000, 
